friends_count,repostNum,followers_count,weiboID
5000,166,33116072,3942711818181728
620,2,88404,4009424525699687
2083,20,297356,4010209577646952
344,0,3364,3907873496685007
371,0,2682,3884852699347196
348,2,2165098,4010249952075830
43,0,200,3663815864109574
634,2,2321,3736291868923921
460,2,75703,4002610971060672
551,0,51723,4006222094862833
1029,5,978,3831587479267617
513,0,48153,3876842769823566
205,0,1103,3443005396717160
447,0,5396,3911638661169523
1628,4,113230,4009501679777050
212,3,51020,4007580718796523
1977,0,113147,3968807816825008
348,0,1474345,3653896368750637
77,32,69004,3802162478289664
558,1,18534,3595305302147739
692,0,397736,4009869780588073
383,1,137061,3958408505899074
370,0,25719,3735193128716395
455,103,9109177,4010199746452668
1886,5,236239,4009412487645532
457,1,10993,4006831141310518
1143,1,276058,4000063371639854
378,0,258684,4009504071282908
340,0,108215,3982237769095557
697,0,21571,4007321291936614
336,0,18107,3663731248472784
499,0,2451,3989657672997675
1276,0,191762,4007581846225658
184,0,39822,3923528048842610
246,0,16502,3823598454296646
138,0,7627,4004031292268793
108,0,39012,3966626142087045
1125,0,318140,4009841230196731
129,0,3435,3710061874357922
1378,2,6515,3922862735671187
563,3,126303,4010107383142861
776,0,181926,4009729007059041
67,0,214097,3703914446308916
40,0,67511,3864461129393007
607,2,8418,3585067747875831
171,0,1824606,4010119865621043
1016,10,4086920,4010231845172489
1882,0,53365,3888122499136706
371,0,102739,3988923543444019
5000,26,7543699,4009942074102021
348,0,1470727,4010258110046194
275,0,243,3808709933751129
535,1,63406,4009834065623050
256,1,100997,4010139943847424
353,0,17076,4009428250680929
153,0,84056,3735549221259818
319,0,90610,3837001570190622
166,0,920,3821688502157658
348,0,1473620,3696074814055393
1882,0,53365,3892461891688557
52,0,2015,4007671356835269
423,18,3423109,4009111806315233
512,1,6365,3857934897401156
896,3,133710,4009476891879157
284,242,450500,3558038822547701
70,0,7717,4008869808748809
108,5,42274,4009876638446407
1178,0,27786,3824683294540055
839,0,2321,3622131185605333
329,16,483971,3980780193307434
836,0,126778,3555345836775575
77,0,4807,3910119853523393
1172,21,958231,4009889179325986
288,6,171806,4009119621460810
906,4,406297,4009862427569332
741,0,33044,3997950272739931
334,1567,1286,3599768192015163
422,3,38797,4000048922772913
710,3,757511,4009785924342586
398,0,37680,3971728277451246
299,4,151,3717364384488725
299,0,3254,3986397746386702
1640,0,132322,3979349529677262
217,0,1514386,3507468019233821
211,0,283254,4007599945275181
202,1,7756,4004152667564080
234,2,7800,3610174860053122
67,4,214097,3610039778309625
1882,0,53365,3892092097194799
186,0,11768,4009403047297157
967,11,17273,3728308028153665
1627,0,44901757,3878566762290054
1956,1020,47856630,3996463065078728
1685,0,25814,3799679915599292
790,0,13557,3955787556258121
991,102,10335,3817936857054168
518,3,10717,4006323093949546
874,7,1005204,4009937245863032
309,2,333009,3891643821915358
421,1,2190443,4010156183974153
1627,1782,44901834,4004320745880637
275,0,243,3911196627586781
186,1,116465,4009769347858203
289,1,16623,3978609544563580
569,3,610341,4010171037009778
185,5,2285,4009863782451942
66,0,2610,3726208959729585
617,16,1213,3748682623243563
1414,2,349472,4009833335961916
1016,0,4086942,4010170440740434
154,2,3325,3549534002690041
737,9,25982311,4010231933457103
27,0,2782,3431763671854573
378,0,258684,4009791477633741
467,3,233516,4010105613964659
35,0,9016,3593075282458687
558,8,355877,4009846648828596
1630,1385,44989657,4006113416354795
1500,0,10404,3991651154693458
455,450,9109202,4009848930377496
1054,18,644222,4009839262444642
1545,0,2226120,3842730256196379
198,5,14665,3497738052491603
1584,1,36757,4003689540845394
661,13,598,4010116820616725
338,2,2529,3377514375808886
483,2,88460,4009777149189173
753,10,146237,4009129028643585
471,1,2010,3732985116941853
106,0,70838,3852134225416741
242,0,8183,4009392854359060
535,0,63406,4009857973002146
948,400,467086,3927275067800443
800,1,417612,4009897484221373
260,0,36012,3934413349546544
180,0,8168,3593380086894049
570,83,11281066,4010260605683996
154,0,3325,3571352134503503
218,0,2266,3978758333942827
494,3,85278,3979667738154078
410,0,52910,4010216843055206
477,2,86507,3977335969245340
519,0,3131826,4010333590430434
448,1,1651,4006481240458981
406,0,4237,3865327480242118
242,0,8183,4009035194112430
630,11,126926,3839202586787278
3921,199,13389586,4010239236362527
76,9,9015,3532862886736293
371,0,88103,3951802447576153
233,3,47890,3988093679221674
421,2,2190448,4009839102805711
504,1,83181,4004320972857028
336,4,18107,3705819293787078
391,1,59847,3804274104937386
457,1,10993,4003332361927424
651,1,633967,3660510610287104
1171,2,88913,3945040675550549
423,0,27377,3817347619928506
740,4,2513678,4010146277321164
108,0,39012,3966628338862443
312,8,59332,3986354549401908
1145,4,135173,4010314733949187
180,1,8168,3593381215071184
432,0,4849,3858007794794576
106,0,1030,3589108079344659
346,2,1689418,4009891946852411
119,4,263,4010308412587137
1172,3,958231,4010192292943093
450,33,4651973,4009507669138127
69,3,4469,3742645060581671
2006,15,157850,4009820149341166
1943,0,26295,3880752145512488
1371,0,205999,4006297068856158
118,2,100233,4008330843952438
356,2,1764842,4009857390702576
1660,0,28591,3595645543489612
76,0,9015,3524980127669663
280,1,927,3853937734130482
113,2,35716,3952906170668700
133,1,7365,3343047661132458
718,3,98305,4009061794281578
1341,0,8476,4009235967071587
936,0,50977,3976120653467406
169,0,27672,4001211692593088
312,2,59332,4004082185904648
357,786,14898,3948283900724261
530,0,459102,4010118088140370
135,0,19741,3967075611894583
153,0,2007,3908693311494877
348,101,1455051,3957962269702112
551,97,1815912,4009922146597287
308,2,5559,3999970983918201
2048,144,7942654,3686155813810187
295,0,138539,4010144863817970
38,0,16536,3880082273628059
327,0,4200,4008671475699111
166,0,45501,4006868643029356
862,46,141264,4007288349507155
1663,258,20091840,4010092661330932
504,0,83181,4001866642058870
1208,553,4710,3781534521276977
1736,70,5965688,3987058260900469
1634,186,45031178,3710036855071864
774,1,5784,3927499752499623
55,1,3962,3798538230156630
958,1,124942,4010138954300788
1615,0,1469830,4009162894207667
579,0,157010,4009782379098605
483,4,187688,4003980251742408
117,0,1850,3975690170159960
156,2,29018,4010156930781276
1977,0,113147,3933395224268175
866,0,79943,4008698189508901
819,10,20645,3877482946605951
883,1,136432,4009424970278086
143,1,30081,3643792475392252
938,3,7096,3899983084206729
